Tweet;Sentimen;step01;tokens;step02;ProcessedText
emang lemes bgt ya mulut lu, gue yg mau beli-beli obat aja mikirr, drmn bisa beli obat kalo ga kerja >:);-1.0;emang lemes bgt ya mulut lu gue yg mau beli beli obat aja mikirr drmn bisa beli obat kalo ga kerja devil;['emang', 'lemes', 'bgt', 'ya', 'mulut', 'lu', 'gue', 'yg', 'beli', 'beli', 'obat', 'aja', 'mikirr', 'drmn', 'beli', 'obat', 'kalo', 'ga', 'kerja', 'devil'];emang lemes bgt ya mulut lu gue yg beli beli obat aja mikirr drmn beli obat kalo ga kerja devil;emang lemes bgt ya mulut lu gue yg beli beli obat aja mikirr drmn beli obat kalo ga kerja devil
Cegah mata rantai Covid-19,mari kita dirumah saja hingga hari Minggu.....;1.0;cegah mata rantai covid number mari kita dirumah saja hingga hari minggu repeated;['cegah', 'mata', 'rantai', 'covid', 'number', 'mari', 'dirumah', 'minggu', 'repeated'];cegah mata rantai covid number mari dirumah minggu repeated;cegah mata rantai covid number mari rumah minggu repeated
aku mohon yaAllah semoga wabah covid-19 menghilang sebelum ramadhan datang ;1.0;aku mohon yaallah semoga wabah covid number menghilang sebelum ramadhan datang;['mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'number', 'menghilang', 'ramadhan'];mohon yaallah semoga wabah covid number menghilang ramadhan;mohon yaallah moga wabah covid number hilang ramadhan
Pemprov Papua Naikkan Status Jadi Tanggap Darurat Covid-19. OPM;1.0;pemprov papua naikkan status jadi tanggap darurat covid number allcaps opm allcaps;['pemprov', 'papua', 'naikkan', 'status', 'tanggap', 'darurat', 'covid', 'number', 'allcaps', 'opm', 'allcaps'];pemprov papua naikkan status tanggap darurat covid number allcaps opm allcaps;pemprov papua naik status tanggap darurat covid number allcaps opm allcaps
Covid belum nyampe prigen mbak hmm hoax;0.0;covid belum nyampe prigen mbak hmm hoax;['covid', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax'];covid nyampe prigen mbak hmm hoax;covid nyampe prigen mbak hmm hoax
Nyuruh orang pintar, lu aja Togog. Itu kerumunan orang bisa nularin covid 19 lol. Mikir !!!!;-1.0;nyuruh orang pintar lu aja togog itu kerumunan orang bisa nularin covid number lol mikir repeated;['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'kerumunan', 'orang', 'nularin', 'covid', 'number', 'lol', 'mikir', 'repeated'];nyuruh orang pintar lu aja togog kerumunan orang nularin covid number lol mikir repeated;nyuruh orang pintar lu aja togog kerumun orang nularin covid number lol mikir repeated
Pikir2 balik byk mnde plk nk setelkn lepas covid.;0.0;pikir balik byk mnde plk nk setelkn lepas covid;['pikir', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];pikir byk mnde plk nk setelkn lepas covid;pikir byk mnde plk nk setelkn lepas covid
Selamat pagi, hari jum'at. Jum'at keempat di kala pandemi Covid-19. Semoga kita semua dikasih kesehatan. Aamiin.;1.0;selamat pagi hari jum at jum at keempat di kala pandemi covid number semoga kita semua dikasih kesehatan aamiin;['selamat', 'pagi', 'jum', 'at', 'jum', 'at', 'keempat', 'pandemi', 'covid', 'number', 'semoga', 'dikasih', 'kesehatan', 'aamiin'];selamat pagi jum at jum at keempat pandemi covid number semoga dikasih kesehatan aamiin;selamat pagi jum at jum at empat pandemi covid number moga kasih sehat aamiin
Hikmah di balik musibah covid-19, smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat Indonesia, bukan memperkaya diri sendiri, keluarga dan kepentingan golongan. Apalagi membela kepentingan WNA, yg jelas2 melukai kepentingan rakyat.;1.0;hikmah di balik musibah covid number smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat indonesia bukan memperkaya diri sendiri keluarga dan kepentingan golongan apalagi membela kepentingan allcaps wna allcaps yg jelas melukai kepentingan rakyat;['hikmah', 'musibah', 'covid', 'number', 'smg', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'memperkaya', 'keluarga', 'kepentingan', 'golongan', 'membela', 'kepentingan', 'allcaps', 'wna', 'allcaps', 'yg', 'melukai', 'kepentingan', 'rakyat'];hikmah musibah covid number smg pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat indonesia memperkaya keluarga kepentingan golongan membela kepentingan allcaps wna allcaps yg melukai kepentingan rakyat;hikmah musibah covid number smg jabat perintah sadar lbh depan kaya negara utk sejahtera rakyat indonesia kaya keluarga penting golong bela penting allcaps wna allcaps yg luka penting rakyat
Cegah covid-19 beserta jajaran Polsek Kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan Polsek Kuranji.Kamis (9/4)Febriputraguci;1.0;cegah covid number beserta jajaran polsek kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan polsek kuranji kamis number number febriputraguci;['cegah', 'covid', 'number', 'beserta', 'jajaran', 'polsek', 'kuranji', 'aksi', 'peduli', 'pembagian', 'masker', 'gratis', 'pengguna', 'jalan', 'kegiatan', 'polsek', 'kuranji', 'kamis', 'number', 'number', 'febriputraguci'];cegah covid number beserta jajaran polsek kuranji aksi peduli pembagian masker gratis pengguna jalan kegiatan polsek kuranji kamis number number febriputraguci;cegah covid number serta jajar polsek ranji aksi peduli bagi masker gratis guna jalan giat polsek ranji kamis number number febriputraguci
Ya Allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang...Ya Allah lindungilah kami dari penyakit berjangkit covid 19... Aamiin.. aamiin ya rabbal a'lamin..stay at home.. jangan keluar rumah;1.0;ya allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang repeated ya allah lindungilah kami dari penyakit berjangkit covid number repeated aamiin repeated aamiin ya rabbal a lamin repeated stay at home repeated jangan keluar rumah;['ya', 'allah', 'memohon', 'mu', 'perkenankanlah', 'doa', 'doa', 'kerana', 'sesungguhnya', 'engkaulah', 'maha', 'pengasih', 'maha', 'penyayang', 'repeated', 'ya', 'allah', 'lindungilah', 'penyakit', 'berjangkit', 'covid', 'number', 'repeated', 'aamiin', 'repeated', 'aamiin', 'ya', 'rabbal', 'a', 'lamin', 'repeated', 'stay', 'at', 'home', 'repeated', 'rumah'];ya allah memohon mu perkenankanlah doa doa kerana sesungguhnya engkaulah maha pengasih maha penyayang repeated ya allah lindungilah penyakit berjangkit covid number repeated aamiin repeated aamiin ya rabbal a lamin repeated stay at home repeated rumah;ya allah mohon mu kenan doa doa rana sungguh engkau maha asih maha sayang repeated ya allah lindung sakit jangkit covid number repeated aamiin repeated aamiin ya rabbal a lamin repeated stay at home repeated rumah
Sah.. Cegah Covid-19 Meluas, Pemerintah Revisi Hari Libur dan Cuti Bersama 2020;1.0;sah repeated cegah covid number meluas pemerintah revisi hari libur dan cuti bersama number;['sah', 'repeated', 'cegah', 'covid', 'number', 'meluas', 'pemerintah', 'revisi', 'libur', 'cuti', 'number'];sah repeated cegah covid number meluas pemerintah revisi libur cuti number;sah repeated cegah covid number luas perintah revisi libur cuti number
"Bencana Nasional Covid-19; DPRD Indramayu Minta BUMD Beri Keringanan Tagihan Kredit hingga Tagihan PDAM |";1.0;bencana nasional covid number allcaps dprd allcaps indramayu minta allcaps bumd allcaps beri keringanan tagihan kredit hingga tagihan allcaps pdam allcaps;['bencana', 'nasional', 'covid', 'number', 'allcaps', 'dprd', 'allcaps', 'indramayu', 'allcaps', 'bumd', 'allcaps', 'keringanan', 'tagihan', 'kredit', 'tagihan', 'allcaps', 'pdam', 'allcaps'];bencana nasional covid number allcaps dprd allcaps indramayu allcaps bumd allcaps keringanan tagihan kredit tagihan allcaps pdam allcaps;bencana nasional covid number allcaps dprd allcaps indramayu allcaps bumd allcaps ringan tagih kredit tagih allcaps pdam allcaps
Cegah Covid-19, Pemprov dan FKUB Papua Barat Sepakat Adakan Doa Bersama Serentak. OPM;1.0;cegah covid number pemprov dan allcaps fkub allcaps papua barat sepakat adakan doa bersama serentak allcaps opm allcaps;['cegah', 'covid', 'number', 'pemprov', 'allcaps', 'fkub', 'allcaps', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'serentak', 'allcaps', 'opm', 'allcaps'];cegah covid number pemprov allcaps fkub allcaps papua barat sepakat adakan doa serentak allcaps opm allcaps;cegah covid number pemprov allcaps fkub allcaps papua barat sepakat adakan doa serentak allcaps opm allcaps
"pagi... kenapa ya di daerah sy (cipinang besar selatan) rt 7 rw 6 nya tdk prnh aware dgn warganya. Setiap ada bantuan tidak pernah transparansi &amp; kejadian covid ini jg tidak ada tindakan semprot disinfektan, dbd jg banyak tp tidak ada fogging. Tp uang kas ttp jalan";1.0;pagi repeated kenapa ya di daerah sy cipinang besar selatan rt number rw number nya tdk prnh aware dgn warganya setiap ada bantuan tidak pernah transparansi kejadian covid ini jg tidak ada tindakan semprot disinfektan dbd jg banyak tp tidak ada fogging tp uang kas ttp jalan;['pagi', 'repeated', 'ya', 'daerah', 'sy', 'cipinang', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'tdk', 'prnh', 'aware', 'dgn', 'warganya', 'bantuan', 'transparansi', 'kejadian', 'covid', 'jg', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'tp', 'fogging', 'tp', 'uang', 'kas', 'ttp', 'jalan'];pagi repeated ya daerah sy cipinang selatan rt number rw number nya tdk prnh aware dgn warganya bantuan transparansi kejadian covid jg tindakan semprot disinfektan dbd jg tp fogging tp uang kas ttp jalan;pagi repeated ya daerah sy cipinang selatan rt number rw number nya tdk prnh aware dgn warga bantu transparansi jadi covid jg tindak semprot disinfektan dbd jg tp fogging tp uang kas ttp jalan
